name,survey,theta_E_pub,prom_native,prom_euclid
J1621+3931,SLACS,1.2899999618530273,67.53294371876736,59.64860576832627
J1627-0053,SLACS,1.2300000190734863,162.51857530143857,128.70486305822365
J1630+4520,SLACS,1.7799999713897705,108.80813360863472,70.7575620001512
J1636+4707,SLACS,1.090000033378601,184.548832790344,173.2698979187652
J2238-0754,SLACS,1.2699999809265137,0.0,0.0
J2300+0022,SLACS,1.2400000095367432,88.70139118415172,90.55735300586012
J2303+1422,SLACS,1.6200000047683716,0.0,0.0
J2321-0939,SLACS,1.600000023841858,62.17004331871149,58.315146786183185
J2341+0000,SLACS,1.440000057220459,22.44122754606283,20.266482153140917
SDSSJ0143-1006,S4TM,1.2300000190734863,154.75272607314236,122.96959931317146
SDSSJ0159-0006,S4TM,0.9200000166893005,21.05018366026864,46.54005031420461
SDSSJ0324+0045,S4TM,0.550000011920929,291.74537920988,162.7134465674265
SDSSJ0324-0110,S4TM,0.6299999952316284,9770.322587087612,7020.167498632533
SDSSJ0753+3416,S4TM,1.2300000190734863,93.54164846464863,106.11355263132961
SDSSJ0754+1927,S4TM,1.0399999618530273,94.46354922428947,99.4631142133613
SDSSJ0757+1956,S4TM,1.6200000047683716,262.46010744711396,136.25722662973206
SDSSJ0826+5630,S4TM,1.0099999904632568,108.34437271919451,108.01308754053551
SDSSJ0847+2348,S4TM,0.9599999785423279,210.2203446381636,193.51975215861867
SDSSJ0851+0505,S4TM,0.9100000262260437,152.68435109893696,112.00253784761118
SDSSJ0920+3028,S4TM,0.699999988079071,97.15129211161351,61.01648440741605
SDSSJ0955+3014,S4TM,0.5400000214576721,34.290917172735845,32.189145432681585
SDSSJ0956+5539,S4TM,1.1699999570846558,235.66237487174786,201.4392483285312
SDSSJ1010+3124,S4TM,1.1399999856948853,106.22181748077487,100.79051522867745
SDSSJ1031+3026,S4TM,0.8799999952316284,196.14937434918227,181.07397069573452
SDSSJ1040+3626,S4TM,0.5899999737739563,500.3894629343858,403.1582355837552
SDSSJ1041+0112,S4TM,0.6000000238418579,131.78452870419395,115.89409973327624
SDSSJ1048+1313,S4TM,1.1799999475479126,31.443423843095687,23.419996028847258
SDSSJ1051+4439,S4TM,0.9900000095367432,190.12212672456306,108.19753938991305
SDSSJ1056+4141,S4TM,0.7200000286102295,172.73258042860425,103.10470618756806
SDSSJ1101+1523,S4TM,1.1799999475479126,547.5689241510595,485.436535006682
SDSSJ1116+0729,S4TM,0.8199999928474426,84.81256523967284,79.03800422328608
SDSSJ1127+2312,S4TM,1.25,66.29536503227322,67.85373961173097
SDSSJ1137+1818,S4TM,1.2899999618530273,570.7158731825523,471.8269889172764
SDSSJ1142+2509,S4TM,0.7900000214576721,735.5041402097105,167.02796982832186
SDSSJ1144+0436,S4TM,0.7599999904632568,98.07498148908135,72.14689319979502
SDSSJ1213+2930,S4TM,1.350000023841858,23.710330864943476,23.65063199463198
SDSSJ1301+0834,S4TM,1.0,29.506733070012164,26.856610293578125
SDSSJ1330+1750,S4TM,1.0099999904632568,109.41162550152376,97.34344762236766
SDSSJ1403+3309,S4TM,1.0199999809265137,61.8357914630276,66.58460051103091
SDSSJ1430+6104,S4TM,1.0,128.13043823506055,119.64989357489206
SDSSJ1433+2835,S4TM,1.5299999713897705,212.08700110523438,208.32142265822839
SDSSJ1541+3642,S4TM,1.1699999570846558,145.6223628326513,131.01070201775366
SDSSJ1543+2202,S4TM,0.7799999713897705,165.2333134497104,115.44900366758603
SDSSJ1550+2020,S4TM,1.0099999904632568,69.46757802700472,65.85449941398589
SDSSJ1553+3004,S4TM,0.8399999737739563,236.71889620869916,127.19983584856702
SDSSJ1607+2147,S4TM,0.5699999928474426,224.8138866929093,92.07404494441329
SDSSJ1633+1441,S4TM,1.3899999856948853,39.63785753767014,41.023044841966716
SDSSJ2309-0039,S4TM,1.1399999856948853,154.00777420630217,88.44868603345249
SDSSJ2324+0105,S4TM,0.5899999737739563,71.21120530277244,68.32164423189771
