name,survey,theta_E_pub,prom_native,prom_euclid,frac_euc_v3_inc@euclid,frac_euc_v3_res@euclid,frac_hyb_v2@native,frac_m3@native,frac_paltas_v1@native,frac_pathb_ens@native,frac_pathb_inc@native,frac_pathb_res@native,frac_sel_ens@euclid,frac_sel_inc@euclid,frac_sel_res@euclid,frac_v3_inc@native,frac_v3_res@native,fail_euc_v3_inc@euclid,fail_euc_v3_res@euclid,fail_hyb_v2@native,fail_m3@native,fail_paltas_v1@native,fail_pathb_ens@native,fail_pathb_inc@native,fail_pathb_res@native,fail_sel_ens@euclid,fail_sel_inc@euclid,fail_sel_res@euclid,fail_v3_inc@native,fail_v3_res@native,nfail_native_cur,nfail_euclid_cur,excluded
J0728+3835,SLACS,1.25,224.40711764050496,216.89746415131515,0.013679999999999914,0.0026400000000000646,-0.015920000000000024,-0.08024000000000005,0.024479999999999967,0.024879999999999923,0.009999999999999964,0.03976000000000006,0.016080000000000004,-0.0013600000000000279,0.033520000000000036,-0.04800000000000004,0.02904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0737+3216,SLACS,1.0,0.0,0.0,0.0014000000000000679,-0.005499999999999949,0.007200000000000095,0.1987000000000001,-0.0024999999999999467,-0.03134999999999999,-0.041000000000000036,-0.021700000000000053,-0.006149999999999989,-0.020499999999999963,0.008199999999999985,-0.011499999999999955,-0.01419999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0822+2652,SLACS,1.1699999570846558,58.52847240869459,56.749254439939904,0.05410256410256422,0.015042735042735095,-0.19811965811965804,0.20427350427350438,-0.04606837606837593,0.08683760683760677,0.09487179487179487,0.07880341880341886,0.22730769230769243,0.22000000000000008,0.23461538461538461,0.01752136752136749,-0.0685470085470084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,False
J0841+3824,SLACS,1.409999966621399,16.981077659803866,15.286897301722638,-0.6281560283687944,-0.6297163120567376,-0.6532624113475177,-0.6135460992907801,-0.19921985815602833,-0.4036879432624113,-0.49858156028368794,-0.3087943262411347,-0.08180851063829776,-0.01879432624113473,-0.14482269503546097,-0.6334751773049645,-0.6536170212765957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,False
J0903+4116,SLACS,1.2899999618530273,134.40664232166657,132.71736882741254,0.0032558139534883575,7.75193798449527e-05,0.004573643410852726,-0.13511627906976753,-0.004651162790697679,-0.004883720930232536,-0.009457364341085262,-0.0003100775193798108,0.01523255813953484,-0.005116279069767395,0.035581395348837246,-0.0022480620155039726,-0.011240310077519347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0912+0029,SLACS,1.6299999952316284,23.530268824382883,22.384285840857956,-0.08601226993865024,-0.07073619631901838,-0.040490797546012175,-0.2998773006134969,-0.04852760736196316,-0.045245398773006124,-0.01809815950920237,-0.07239263803680974,-0.05220858895705519,-0.051104294478527566,-0.05331288343558281,-0.08447852760736192,-0.06024539877300604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0935-0003,SLACS,0.8700000047683716,148.58807462524834,80.3620637233984,0.7706896551724138,0.5933333333333335,-0.068735632183908,-0.09206896551724132,0.15080459770114954,0.18471264367816087,0.24160919540229892,0.12781609195402294,0.36166666666666664,0.3219540229885056,0.40137931034482766,0.5067816091954023,-0.04609195402298853,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,False
J0936+0913,SLACS,1.090000033378601,54.99947475369029,57.564837226762606,0.4829357798165137,0.3988073394495411,0.1421100917431191,-0.3936697247706422,0.13532110091743116,0.12678899082568815,0.19211009174311927,0.06146788990825683,-0.057110091743119186,-0.16220183486238537,0.047981651376146794,0.24311926605504577,0.33706422018348614,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,False
J0946+1006,SLACS,1.3799999952316284,71.71452276461008,73.8257888588757,0.023768115942029103,0.018840579710144946,0.013260869565217541,-0.012536231884057879,0.02159420289855076,0.013188405797101607,0.014057971014492816,0.012318840579710237,0.019673913043478267,0.02442028985507251,0.014927536231884185,0.017608695652174065,0.013695652173913145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0955+0101,SLACS,0.9100000262260437,835.7162524203533,544.0859684828666,-0.24021978021978024,-0.2971428571428572,-0.32648351648351653,1.1021978021978023,0.11065934065934055,-0.10956043956043957,-0.23615384615384613,0.017032967032966986,-0.10736263736263738,-0.19857142857142865,-0.016153846153846203,-0.10560439560439568,-0.4318681318681319,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,True
J0956+5100,SLACS,1.3300000429153442,160.7671456112583,127.56266687559793,-0.0212781954887218,0.006616541353383397,-0.03225563909774448,0.07827067669172921,-0.0647368421052632,0.023270676691729348,0.046466165413533725,7.518796992480375e-05,0.016278195488721597,0.00413533834586454,0.02842105263157882,-0.03278195488721811,0.009248120300751863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J0959+4416,SLACS,0.9599999785423279,53.17180088331583,51.615479352401934,0.3208333333333334,0.21593750000000006,0.0809375000000001,-0.3658333333333333,0.1471875,-0.08062499999999992,-0.11593749999999996,-0.045312499999999985,0.12234375000000006,0.1697916666666667,0.07489583333333341,0.09385416666666674,0.20114583333333338,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,False
J0959+0410,SLACS,0.9900000095367432,45.11062317414156,44.20228714245118,0.005252525252525235,0.06999999999999992,0.07222222222222234,-0.13878787878787877,0.15111111111111106,0.1907575757575757,0.14888888888888888,0.23262626262626257,0.17449494949494945,0.1531313131313131,0.19585858585858582,0.06393939393939385,0.0758585858585858,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,False
J1016+3859,SLACS,1.090000033378601,739.2643835619818,566.7381681455071,0.091926605504587,-0.10706422018348626,-0.28880733944954134,-0.22100917431192668,-0.2342201834862386,-0.13119266055045883,-0.2208256880733945,-0.04155963302752304,-0.15197247706422023,-0.07651376146789003,-0.22743119266055056,-0.2330275229357799,-0.3978899082568808,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,False
J1020+1122,SLACS,1.2000000476837158,135.78470545744602,115.10891363708484,-0.0017499999999999924,-0.02874999999999998,-0.01949999999999989,-0.2505833333333333,-0.05858333333333336,-0.030749999999999944,-0.02191666666666666,-0.039583333333333234,-0.016083333333333227,-0.00949999999999988,-0.022666666666666578,-0.046583333333333386,-0.021999999999999985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1023+4230,SLACS,1.409999966621399,67.94523576075743,74.77702705592922,-0.10134751773049648,-0.05843971631205676,-0.014397163120567366,-0.03382978723404245,-0.05056737588652477,-0.04457446808510628,-0.06340425531914888,-0.02574468085106383,-0.021241134751772996,-0.025460992907801294,-0.0170212765957447,-0.10836879432624101,-0.07333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1029+0420,SLACS,1.0099999904632568,69.71673428956949,64.95056211890899,0.2759405940594059,0.10831683168316826,-0.16396039603960394,0.08732673267326738,0.10079207920792069,-0.0002475247524753302,0.08435643564356429,-0.08485148514851484,-0.04207920792079206,-0.0381188118811881,-0.046039603960396025,0.13841584158415834,0.21999999999999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
J1032+5322,SLACS,1.0299999713897705,745.5415318174287,581.5891680224514,0.16427184466019418,-0.3781553398058253,0.052038834951456184,-0.4328155339805825,-0.04699029126213592,-0.2706310679611651,-0.2898058252427184,-0.25145631067961166,-0.32631067961165056,-0.37650485436893205,-0.2761165048543689,-0.19019417475728162,-0.12572815533980589,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,False
J1100+5329,SLACS,1.5199999809265137,27.710393008081457,25.009440257254983,0.13335526315789464,0.1275657894736842,0.09953947368421052,-0.23625,0.07828947368421052,0.13601973684210525,0.16223684210526312,0.1098026315789474,0.130921052631579,0.12730263157894736,0.13453947368421046,0.13269736842105262,0.1492105263157894,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
J1103+5322,SLACS,1.0199999809265137,205.68106068030443,167.55215198018715,0.032254901960784246,-0.10588235294117646,0.03519607843137259,0.009411764705882404,-0.03147058823529413,0.0010784313725489007,-0.049215686274509826,0.05137254901960785,0.032843137254902045,0.057352941176470586,0.008333333333333286,-0.04009803921568632,-0.1552941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
J1106+5228,SLACS,1.2300000190734863,216.7988652248483,209.63377826265724,0.07520325203252035,0.019430894308943115,0.032764227642276426,0.27308943089430904,-0.005609756097560899,0.046422764227642216,0.06869918699186993,0.024146341463414683,0.04020325203252032,0.056178861788617834,0.024227642276422805,0.040569105691056956,0.03089430894308946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1112+0826,SLACS,1.4900000095367432,118.72276848415257,67.21791281893144,0.3580536912751677,0.27181208053691275,-0.31187919463087244,-0.34194630872483217,-0.35261744966442954,-0.2935570469798658,-0.1777852348993288,-0.40932885906040267,-0.2601006711409395,-0.27355704697986577,-0.24664429530201337,0.06100671140939596,0.09751677852348992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,False
