i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
202,102046114_NEG537352034266671160,1.24,6.3,10.9,0.546,1,0.708,12,25.6,0.0459,32.8,0,0,0,0,0
203,102046759_NEG522096295262136465,1.274,1.7,9.8,0.492,1,0.458,4,30.6,0.2836,13.6,0,0,0,0,0
204,102157629_2659727733636823810,1.055,1.6,13.5,0.675,0,0.833,4,23.4,0.2681,42.0,0,0,0,0,0
205,102157630_2665772836637102014,1.903,3.4,10.7,0.534,0,0.75,4,38.5,0.1733,100.0,0,0,0,0,0
206,102157952_2658211530641487553,1.122,1.7,12.4,0.622,0,0.75,4,20.1,0.1527,10.7,0,0,0,0,0
207,102157952_2658616879639330994,0.815,1.5,10.1,0.504,5,0.667,3,17.1,0.1877,14.1,0,0,0,0,0
208,102157953_2668203348640973901,1.106,8.6,14.6,0.731,4,0.583,3,22.5,0.7751,74.9,0,0,0,0,0
209,102157953_2668288172639391107,0.765,6.6,11.6,0.582,1,0.625,2,14.6,0.6446,44.9,0,0,0,0,0
210,102157953_2669397021640472384,2.106,3.4,8.4,0.422,0,0.833,6,36.6,0.082,44.6,0,0,0,0,0
211,102157953_2670994480641865653,1.666,2.4,10.2,0.511,1,0.583,3,38.9,0.0493,42.9,0,0,0,0,0
212,102157954_2677725526640039676,1.218,1.7,9.8,0.492,3,0.583,5,20.7,0.034,18.9,0,0,0,0,0
213,102157955_2685490710638126805,1.053,1.6,11.7,0.585,5,0.667,4,23.9,0.0735,11.5,0,0,0,0,0
214,102157955_2689800257639551890,0.556,4.9,11.2,0.559,0,0.708,2,12.2,1.0069,465.8,0,0,0,0,0
215,102157956_2695046853638479184,1.504,0.4,9.2,0.459,1,0.25,3,36.0,0.0314,17.0,0,0,0,0,0
216,102157956_2700546205640397835,0.635,1.3,9.6,0.482,1,0.625,2,12.4,0.2686,10.2,0,0,0,0,0
217,102157957_2711813162637737494,3.499,2.6,10.2,0.509,2,0.625,1,6.5,0.6316,250.5,0,0,0,0,0
