name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4_0088,242.79087,17.09072,0.0,0.0,LRGDEFL2,prop12209_vd100_ve22_z0.477
G4_0089,249.31077,14.65839,0.0,0.0,LRGDEFL2,prop12209_vd215_ve35_z0.391
G4_0090,127.70717,51.27547,0.0,0.0,LRGDEFL2,prop12209_vd226_ve33_z0.530
G4_0091,345.58408,-8.68039,0.0,0.0,LRGDEFL2,prop10587_vd239_ve8_z0.090
G4_0092,317.80117,-0.64072,0.0,0.0,LRGDEFL2,prop10587_vd199_ve17_z0.193
G4_0093,247.95971,18.90114,0.0,0.0,LRGDEFL2,prop12209_vd294_ve17_z0.408
G4_0094,7.07446,-9.49286,0.0,0.0,LRGDEFL2,prop10587_vd159_ve5_z0.057
G4_0095,115.71600,34.83383,0.0,0.0,LRGDEFL2,prop10587_vd163_ve10_z0.085
G4_0096,135.83129,31.66421,0.0,0.0,LRGDEFL2,prop10886_vd260_ve15_z0.271
G4_0097,143.60475,60.57308,0.0,0.0,LRGDEFL2,prop10587_vd205_ve9_z0.101
G4_0098,340.48212,12.47053,0.0,0.0,LRGDEFL2,prop10587_vd144_ve28_z0.100
G4_0099,169.93479,13.96292,0.0,0.0,LRGDEFL2,prop12210_vd205_ve5_z0.068
G4_0100,31.75900,0.75644,0.0,0.0,LRGDEFL2,prop12210_vd153_ve4_z0.042
G4_0101,156.22079,40.24111,0.0,0.0,LRGDEFL2,prop12210_vd153_ve8_z0.064
G4_0102,237.51300,52.97958,0.0,0.0,LRGDEFL2,prop10587_vd193_ve5_z0.049
G4_0103,205.78438,60.46522,0.0,0.0,LRGDEFL2,prop10587_vd179_ve9_z0.120
G4_0104,24.88329,-10.58431,0.0,0.0,LRGDEFL2,prop12210_vd206_ve13_z0.222
G4_0105,321.29446,4.19211,0.0,0.0,LRGDEFL2,prop12209_vd286_ve28_z0.363
G4_0106,206.28176,-1.49439,0.0,0.0,LRGDEFL2,prop12209_vd209_ve24_z0.488
G4_0107,216.39808,9.85003,0.0,0.0,LRGDEFL2,prop12210_vd209_ve12_z0.158
G4_0108,187.39946,16.25550,0.0,0.0,LRGDEFL2,prop12210_vd183_ve11_z0.121
G4_0109,245.27079,5.88042,0.0,0.0,LRGDEFL2,prop12210_vd195_ve22_z0.154
G4_0110,320.46300,12.05358,0.0,0.0,LRGDEFL2,prop10587_vd196_ve10_z0.143
G4_0111,58.74363,-6.81189,0.0,0.0,LRGDEFL2,prop10587_vd160_ve8_z0.130
G4_0112,188.83121,39.33156,0.0,0.0,LRGDEFL2,prop12210_vd168_ve7_z0.062
G4_0113,138.18458,41.61028,0.0,0.0,LRGDEFL2,prop10587_vd215_ve7_z0.065
G4_0114,165.79525,36.43053,0.0,0.0,LRGDEFL2,prop12210_vd290_ve15_z0.157
G4_0115,228.56408,30.06164,0.0,0.0,LRGDEFL2,prop12210_vd189_ve7_z0.092
G4_0116,232.80187,6.87036,0.0,0.0,LRGDEFL2,prop12210_vd264_ve15_z0.208
G4_0117,247.36479,13.52006,0.0,0.0,LRGDEFL2,prop12210_vd177_ve9_z0.122
