stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00266,1,0,visual arc suspect - excluded from library pending investigation,,there seems to be smth similar to an arc
G4B_00267,1,1,,close_pair_check_isophote_fit,2 lights
G4B_00268,0,0,,,
G4B_00269,0,0,,,
G4B_00270,1,1,,,
G4B_00271,1,1,,,
G4B_00272,1,1,,,
G4B_00273,1,0,"KNOWN lens-type object within 10arcsec: [BHG2011] SDSS J1115+5319 E1 (LeG, 6.58"")",,
G4B_00274,1,1,,,
G4B_00275,1,0,"KNOWN lens-type object within 10arcsec: [MCM2012] SA98 lens (gLe, 0.1"")",,
G4B_00276,1,1,,,
G4B_00277,1,0,BCG of lensing cluster ClG J1115+5319 (arcs in stamp),,maybe there is an arc
G4B_00278,1,1,,bcg,
G4B_00279,1,1,,,
G4B_00280,1,1,,,
G4B_00282,1,1,,,
G4B_00283,1,1,,bcg,
G4B_00284,1,1,,bcg,
G4B_00285,1,1,,,
G4B_00286,1,1,,low_snr,dim
G4B_00287,1,1,,low_snr|bcg,"dim center, brighter neighbour"
G4B_00288,1,1,,,
G4B_00289,1,1,,bcg,
G4B_00290,1,0,BCG of ZwCl 0104+0048 with visible faint arc,,looks like there is an arc
G4B_00291,1,1,,,
G4B_00292,0,0,,,
G4B_00293,1,0,visual arc suspect - excluded from library pending investigation,,maybe there is an arc
G4B_00294,1,1,,,
G4B_00295,1,1,,,
G4B_00296,1,1,,,
G4B_00297,1,1,,,
G4B_00298,1,1,,,
G4B_00299,1,1,,bcg,
G4B_00300,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00301,1,1,,,
G4B_00302,1,1,,,
G4B_00303,1,1,,,
G4B_00304,1,1,,,
G4B_00305,1,1,,,
G4B_00306,1,1,,,
G4B_00307,1,1,,,
G4B_00308,1,1,,,
G4B_00309,1,1,,,
G4B_00310,0,0,,,
G4B_00311,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00312,1,1,,bcg,
G4B_00313,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00314,1,0,S-shaped spiral arms,,maybe there is an arc
G4B_00315,1,1,,,
G4B_00316,1,1,,,
G4B_00317,1,1,,,
G4B_00318,1,1,,,
G4B_00319,1,1,,,
G4B_00320,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,small galaxy maybe
G4B_00321,1,1,,bcg,
G4B_00322,1,1,,,
G4B_00323,1,1,,,
G4B_00324,1,1,,bcg,
G4B_00325,1,1,,,
G4B_00326,0,0,,,
G4B_00327,1,0,"KNOWN lens-type object within 10arcsec: [OAF2017] EEL J1218 system (gLS, 0.38"")",,looks like a circular light
G4B_00329,1,1,,,
G4B_00331,1,0,"KNOWN lens-type object within 10arcsec: [OAF2017] EEL J1248 system (gLS, 0.24"")",,
G4B_00332,0,0,,,
G4B_00333,1,0,"KNOWN lens-type object within 10arcsec: [OAF2017] EEL J0913 system (gLS, 0.06"")",,black background and circular light
G4B_00336,1,1,,,
G4B_00337,0,0,,,
G4B_00339,1,1,,,
G4B_00340,1,1,,,
G4B_00341,1,1,,,
G4B_00343,0,0,,,
G4B_00344,1,1,,,
G4B_00345,0,0,,,
G4B_00347,1,1,,low_snr,dim and small
G4B_00348,0,0,,,
G4B_00349,0,0,,,
G4B_00350,0,0,,,
G4B_00354,1,1,,,
G4B_00355,0,0,,,
G4B_00356,1,1,,,
G4B_00357,1,1,,,
G4B_00358,1,1,,,
G4B_00359,1,1,,,
G4B_00361,0,0,,,
G4B_00362,1,1,,,
G4B_00364,1,1,,,
G4B_00365,1,1,,,
G4B_00366,1,1,,,
G4B_00367,0,0,,,
G4B_00368,1,1,,,
G4B_00371,1,1,,,
G4B_00393,1,1,,,
G4B_00394,1,1,,,
