stamp_id,origin,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy
107,old_train,J1535-0038,31,230.4983,14.84028,0.1613446,16.912,1.169,0.789,-11.4,356.4,1
108,old_train,J1547+5720,34,251.8785,11.19477,0.1882759,16.649,1.48,0.953,42.4,0.0,0
109,old_train,J1717+5739,37,224.5882,9.35145,0.1143404,16.293,1.423,0.871,22.2,146.2,1
110,old_train,J2225+1259,40,240.8054,24.72314,0.3103456,18.018,0.933,0.879,33.4,123.6,1
111,old_train,SDSSJ0152+1414,44,124.6946,21.08048,0.1359486,17.378,1.69,0.872,39.9,55.5,1
112,old_train,SDSSJ0207+0045,45,153.0967,4.228814,0.04186494,15.301,1.53,0.923,21.0,58.2,1
113,old_train,SDSSJ0753+3839,46,38.07081,13.93519,0.04075799,17.556,1.63,0.924,16.6,48.3,1
114,old_train,SDSSJ0824+2242,48,317.9657,24.14561,0.2801243,17.071,2.189,0.979,71.8,238.5,1
115,old_train,SDSSJ0831+1940,49,156.7852,6.828432,0.08760329,16.98,1.035,0.842,-3.7,42.9,1
116,old_train,SDSSJ0844+2113,51,256.813,15.44723,0.1778946,16.826,1.728,0.869,-27.1,133.4,1
117,old_train,SDSSJ0849+2031,52,202.1686,8.212989,0.08435504,16.256,1.267,0.882,22.0,83.1,1
118,old_train,SDSSJ0902+5158,54,256.0936,8.689559,0.1365601,16.525,1.505,0.863,-1.2,73.5,1
119,old_train,SDSSJ1102+3655,59,269.5753,9.155909,0.09364215,15.518,1.827,0.823,-12.8,98.1,1
120,old_train,SDSSJ1119+1357,61,204.9122,5.310751,0.067779,15.293,2.928,0.776,62.2,26.0,1
121,old_train,SDSSJ1121+5822,62,201.7692,12.80379,0.1750709,17.092,1.221,0.935,52.9,57.5,1
122,old_train,SDSSJ1229+1615,65,183.3826,11.09101,0.1206733,16.726,1.219,0.878,58.7,52.2,1
123,old_train,SDSSJ1235+3919,66,168.16,6.61718,0.06228075,15.542,1.771,0.861,-29.1,46.4,1
124,old_train,SDSSJ1242+0248,68,231.347,12.192,0.2055689,17.231,1.075,0.916,42.8,107.1,1
125,old_train,SDSSJ1405+1353,72,192.6526,12.01328,0.1330534,17.274,1.091,0.806,-4.8,259.3,1
126,old_train,SDSSJ1406+2528,73,407.8484,17.74604,0.1193072,16.734,0.549,0.935,23.3,344.2,1
127,old_train,SDSSJ1514+3003,75,189.366,7.351021,0.09231693,16.173,1.425,0.892,70.4,88.6,1
128,old_train,SDSSJ1609+1805,79,224.3478,10.91318,0.149653,16.716,1.381,0.896,5.7,138.6,1
129,old_train,SDSSJ1629+1331,80,177.1331,9.36642,0.1222489,17.004,1.098,0.885,-3.8,242.1,1
130,old_train,SDSSJ2134+1043,81,241.9724,13.37263,0.2290214,16.925,1.556,0.951,-44.6,36.0,1
