stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy,iso_a3,iso_b3,iso_a4,iso_b4,iso_m3,iso_m4,iso_harm12,iso_nann,iso_drift_px,iso_q,iso_pa_deg,flag_iso_bad,flag_pair
258,G4B_00567,409,174.0,31.0,0.247,19.535,0.376,0.831,-89.1,891.8,1,-0.00363,0.00073,0.00462,-0.00122,0.00856,0.00483,0.00422,10,0.05884,0.83523,-73.74653,0,0
259,G4B_00569,411,243.0,25.0,0.368,18.377,1.091,0.786,47.1,94.0,1,0.00073,0.00197,-0.00708,0.00176,0.00403,0.00713,0.02392,10,0.22413,0.683,45.96165,0,0
260,G4B_00572,412,175.0,24.0,0.32,18.302,1.249,0.759,87.9,134.1,1,0.00897,0.00802,0.0052,-0.00684,0.01894,0.00938,0.02733,10,0.28513,0.66254,91.42328,0,0
261,G4B_00573,413,180.0,21.0,0.289,18.788,1.444,0.734,89.2,156.9,1,0.03316,0.00111,0.0066,-0.0045,0.03493,0.0153,0.19397,10,0.08168,0.63409,87.83468,0,1
262,G4B_00574,414,231.0,11.0,0.188,17.136,1.863,0.94,-71.3,0.0,0,-0.00063,-3e-05,-0.00187,-0.00759,0.00198,0.00916,0.00605,10,0.3902,0.90039,-60.70009,0,0
263,G4B_00575,415,231.0,14.0,0.221,17.499,1.485,0.944,47.4,31.1,1,-0.00066,-0.00023,0.00134,-0.00325,0.00506,0.00897,0.0212,10,0.436,0.84772,22.17024,0,0
264,G4B_00576,416,210.0,11.0,0.221,17.573,1.047,0.958,62.6,98.6,1,-0.00367,0.00233,0.00114,0.00145,0.01116,0.01116,0.00969,10,0.65981,0.96152,56.19119,0,0
265,G4B_00577,417,210.0,15.0,0.225,17.508,1.575,0.858,-67.1,65.2,1,0.00196,0.00079,0.00149,-0.0031,0.00469,0.00603,0.01892,10,0.35404,0.7261,-80.18114,0,0
266,G4B_00578,418,191.0,20.0,0.213,18.49,0.759,0.709,-59.5,373.8,1,-0.00144,0.00371,0.00102,-0.00081,0.00488,0.00477,0.04711,10,2.89333,0.86338,-79.97251,0,0
267,G4B_00580,420,181.0,16.0,0.215,18.029,1.408,0.867,53.0,56.3,1,0.00114,7e-05,-0.00683,0.00432,0.0029,0.00947,0.02323,10,0.39015,0.8142,53.0768,0,0
268,G4B_00584,421,249.0,21.0,0.323,17.954,1.066,0.99,-88.3,203.2,1,0.00096,0.00132,0.00591,0.00255,0.00301,0.00733,0.00403,10,0.14612,0.99957,-91.51928,0,0
269,G4B_00587,422,133.0,12.0,0.058,16.707,1.663,0.904,-17.5,69.9,1,-0.0008,0.00174,0.00445,0.00791,0.00291,0.00932,0.00364,10,0.22858,0.80079,-16.98073,0,0
270,G4B_00592,426,198.0,19.0,0.253,17.524,1.983,0.793,15.6,75.0,1,0.12569,0.05418,0.06163,0.0291,0.1333,0.09149,0.31932,10,0.098,0.48709,12.49401,0,1
271,G4B_00594,427,148.0,5.0,0.054,15.552,1.647,0.86,56.9,82.2,1,-0.00025,0.0002,0.00918,0.00094,0.00161,0.00923,0.00229,10,0.10574,0.71834,58.0181,0,0
272,G4B_00595,428,241.0,14.0,0.256,17.459,1.591,0.876,9.9,66.0,1,0.00094,0.00107,-0.00013,-0.00247,0.00329,0.00403,0.00502,10,0.4915,0.81593,9.45231,0,0
273,G4B_00596,429,240.0,17.0,0.279,17.71,1.269,0.895,44.1,120.4,1,0.00171,-0.00243,-0.00589,-0.0093,0.01019,0.01199,0.04011,10,1.7281,0.69721,30.48615,0,0
274,G4B_00605,436,204.0,17.0,0.332,18.507,0.878,0.828,9.2,119.5,1,0.00421,0.00198,0.00644,-0.00268,0.0065,0.00766,0.00469,10,0.32716,0.76281,7.9416,0,0
275,G4B_00609,438,235.0,20.0,0.354,18.31,1.02,0.825,-82.2,186.8,1,0.00054,-0.00311,0.00183,-0.00767,0.00562,0.00951,0.00841,10,0.15366,0.78351,-72.20785,0,0
276,G4B_00610,439,219.0,40.0,0.478,19.037,1.375,0.892,4.1,625.7,1,-0.00397,0.00013,0.01105,0.00024,0.00816,0.0129,0.02653,10,1.20091,0.79635,-2.69358,0,0
277,G4B_00618,443,246.0,29.0,0.403,18.134,2.136,0.868,48.0,77.0,1,0.00539,0.00099,-0.00101,0.00302,0.00938,0.01279,0.03036,10,2.28454,0.78167,47.06191,0,0
278,G4B_00619,444,212.0,28.0,0.407,18.356,1.532,0.988,85.4,60.2,1,0.00048,-0.00721,0.00426,-0.0035,0.00948,0.01172,0.02697,10,1.45383,0.9963,94.46912,0,0
279,G4B_00620,445,189.0,32.0,0.401,18.74,1.835,0.887,68.5,271.9,1,0.00724,-0.00596,-0.01673,0.0085,0.01764,0.0343,0.16078,10,2.14281,1.0,38.8048,0,1
280,G4B_00622,447,154.0,28.0,0.402,19.44,0.637,0.843,76.6,1021.5,1,0.00095,0.00238,0.00367,0.00242,0.00412,0.00585,0.00788,10,0.17136,0.79822,85.76604,0,0
281,G4B_00627,449,213.0,40.0,0.451,19.094,0.884,0.862,-55.4,195.4,1,-0.00438,0.00414,-0.00283,-0.00479,0.00916,0.00568,0.02037,10,0.24875,0.80918,-48.73085,0,0
282,G4B_00629,450,229.0,15.0,0.152,16.613,1.636,0.985,68.0,53.3,1,-0.00096,-0.00115,0.00115,0.00643,0.00265,0.00677,0.0012,10,0.28689,0.96418,67.09232,0,0
