stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy
24,G4_0041,40,215.0,36.0,0.589,18.819,2.565,0.934,35.3,20.5,0
25,G4_0042,41,215.0,13.0,0.173,17.105,1.231,0.951,37.4,143.3,1
26,G4_0045,44,257.0,15.0,0.178,16.828,1.727,0.869,-27.1,133.3,1
27,G4_0046,45,278.0,32.0,0.543,19.537,0.637,0.904,-46.6,169.5,1
28,G4_0048,47,202.0,13.0,0.175,17.097,1.215,0.935,52.8,58.0,1
29,G4_0049,48,171.0,19.0,0.475,19.386,0.816,0.774,70.0,242.6,1
30,G4_0050,49,192.0,9.0,0.127,16.847,2.359,0.749,-72.1,296.5,1
31,G4_0052,51,204.0,29.0,0.659,19.585,0.996,0.936,-70.7,220.1,1
32,G4_0053,52,215.0,13.0,0.122,16.601,1.423,0.857,45.5,88.3,1
33,G4_0054,53,240.0,40.0,0.438,18.847,1.078,0.91,-32.3,87.6,1
34,G4_0060,59,197.0,14.0,0.182,17.157,1.295,0.872,-88.0,64.7,1
35,G4_0062,61,226.0,8.0,0.079,15.805,1.487,0.769,47.9,52.8,1
36,G4_0063,62,171.0,43.0,0.539,19.477,1.136,0.987,-64.3,61.1,1
37,G4_0064,63,169.0,15.0,0.142,17.291,1.245,0.978,68.3,79.6,1
38,G4_0065,64,216.0,16.0,0.402,18.065,2.37,0.81,-26.2,60.1,1
39,G4_0066,65,221.0,26.0,0.483,19.281,0.84,0.858,23.6,132.1,1
40,G4_0071,70,255.0,75.0,0.467,18.291,4.64,0.948,-60.8,10.7,0
41,G4_0072,71,290.0,39.0,0.56,19.174,1.098,0.8,-78.0,65.4,1
42,G4_0073,72,162.0,7.0,0.072,15.663,1.535,0.861,87.2,44.5,1
43,G4_0077,76,200.0,13.0,0.114,17.128,1.196,0.85,57.3,379.3,1
44,G4_0080,78,287.0,28.0,0.271,17.609,1.329,0.908,27.8,88.8,1
45,G4_0081,79,227.0,11.0,0.219,17.191,1.575,0.936,-77.5,74.7,1
46,G4_0082,80,195.0,5.0,0.084,15.998,1.241,0.861,77.6,108.3,1
47,G4_0084,82,170.0,23.0,0.47,19.064,1.55,0.904,-57.1,72.3,1
48,G4_0085,83,202.0,8.0,0.084,16.255,1.267,0.882,22.0,83.0,1
49,G4_0087,85,200.0,9.0,0.073,16.823,0.795,0.847,-48.0,141.6,1
50,G4_0088,86,100.0,22.0,0.477,19.562,0.975,0.839,35.6,142.9,1
51,G4_0091,89,239.0,8.0,0.09,15.929,1.255,0.894,8.3,88.2,1
52,G4_0100,98,153.0,4.0,0.042,15.301,1.53,0.923,21.0,58.2,1
53,G4_0101,99,153.0,8.0,0.064,16.428,0.887,0.74,-73.0,246.0,1
54,G4_0102,100,193.0,5.0,0.049,15.557,1.287,0.888,-2.9,183.1,1
55,G4_0105,103,286.0,28.0,0.363,18.13,1.233,0.858,-41.5,138.3,1
56,G4_0106,104,209.0,24.0,0.488,19.42,0.887,0.919,-56.0,95.2,1
57,G4_0107,105,209.0,12.0,0.158,16.91,1.11,0.873,33.7,165.1,1
58,G4_0108,106,183.0,11.0,0.121,16.72,1.225,0.878,58.7,51.5,1
59,G4_0109,107,195.0,22.0,0.154,17.223,1.116,0.929,-82.6,306.5,1
60,G4_0111,109,160.0,8.0,0.13,16.436,1.846,0.947,15.5,99.8,1
61,G4_0112,110,168.0,7.0,0.062,15.536,1.778,0.862,-29.1,44.7,1
62,G4_0115,113,189.0,7.0,0.092,16.175,1.425,0.892,70.4,89.6,1
63,G4_0117,115,177.0,9.0,0.122,16.999,1.107,0.886,-3.9,236.6,1
64,G4_0118,116,174.0,11.0,0.067,15.719,1.467,0.941,49.1,136.1,1
65,G4_0121,119,280.0,21.0,0.304,17.323,1.971,0.908,30.4,37.9,1
66,G4_0124,122,212.0,15.0,0.17,16.972,1.489,0.828,-25.1,50.0,1
67,G4_0125,123,180.0,19.0,0.152,17.482,1.353,0.986,-42.9,218.5,1
68,G4_0126,124,171.0,11.0,0.076,16.684,1.116,0.91,-33.3,112.4,1
69,G4_0127,125,261.0,14.0,0.128,16.933,0.978,0.918,-87.7,170.1,1
70,G4_0139,136,318.0,24.0,0.28,17.074,2.185,0.979,71.8,240.4,1
71,G4_0141,138,231.0,12.0,0.206,17.23,1.075,0.916,42.8,106.7,1
72,G4_0146,143,207.0,13.0,0.142,17.226,1.532,0.879,-15.6,118.7,1
73,G4_0149,146,245.0,9.0,0.125,16.232,1.443,0.865,14.7,52.4,1
74,G4_0150,147,191.0,8.0,0.07,16.141,1.535,0.76,-9.1,94.9,1
75,G4_0152,149,185.0,6.0,0.123,16.711,1.175,0.85,86.8,185.3,1
