name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00089,219.77340,12.14699,0.0,0.0,LRGDEFL2B,tierA|vd=345+-44|z=0.434|WFC3UVIS|2400s|P--
G4B_00090,1.21337,-1.04284,0.0,0.0,LRGDEFL2B,tierA|vd=338+-40|z=0.454|WFC3UVIS|2400s|P13003
G4B_00091,162.00202,15.26824,0.0,0.0,LRGDEFL2B,tierA|vd=313+-13|z=0.213|WFC3UVIS|2400s|P--
G4B_00092,179.02275,19.18686,0.0,0.0,LRGDEFL2B,tierA|vd=306+-39|z=0.545|WFC3UVIS|2400s|P--
G4B_00093,219.79076,12.14045,0.0,0.0,LRGDEFL2B,tierA|vd=305+-47|z=0.427|WFC3UVIS|2400s|P--
G4B_00094,354.41555,0.27137,0.0,0.0,LRGDEFL2B,tierA|vd=285+-18|z=0.277|ACSWFC|2400s|P--
G4B_00095,161.99754,15.26470,0.0,0.0,LRGDEFL2B,tierA|vd=276+-11|z=0.213|WFC3UVIS|2400s|P--
G4B_00096,179.02680,19.19911,0.0,0.0,LRGDEFL2B,tierA|vd=273+-37|z=0.541|WFC3UVIS|2400s|P--
G4B_00097,354.42345,0.27345,0.0,0.0,LRGDEFL2B,tierA|vd=259+-19|z=0.278|ACSWFC|2400s|P--
G4B_00098,194.14406,32.45454,0.0,0.0,LRGDEFL2B,tierA|vd=255+-36|z=0.524|WFC3UVIS|2400s|P--
G4B_00099,149.40437,5.15356,0.0,0.0,LRGDEFL2B,tierA|vd=253+-48|z=0.451|WFC3UVIS|2400s|P--
G4B_00100,178.99902,19.17459,0.0,0.0,LRGDEFL2B,tierA|vd=251+-24|z=0.325|WFC3UVIS|2400s|P--
G4B_00101,194.96036,27.82870,0.0,0.0,LRGDEFL2B,tierA|vd=261+-26|z=0.515|ACSWFC|2396s|P14182
G4B_00102,138.91258,38.44958,0.0,0.0,LRGDEFL2B,tierA|vd=301+-37|z=0.396|WFC3UVIS|2388s|P13003
G4B_00103,248.03382,35.00908,0.0,0.0,LRGDEFL2B,tierA|vd=276+-45|z=0.471|WFC3UVIS|2388s|P13003
